t1_mode,t2_mode
0.5172413793103449,-0.3793103448275862
-0.1724137931034483,0.7241379310344828
0.4482758620689655,0.10344827586206896
0.4482758620689655,0.1724137931034483
0.4482758620689655,0.1724137931034483
0.3793103448275862,0.1724137931034483
-0.8620689655172413,1.0
0.7241379310344828,-0.3793103448275862
0.6551724137931034,-0.3103448275862069
0.6551724137931034,-0.3103448275862069
0.6551724137931034,-0.3103448275862069
0.6551724137931034,-0.3103448275862069
0.7241379310344828,-0.3103448275862069
0.6551724137931034,-0.3103448275862069
0.5172413793103449,0.1724137931034483
0.4482758620689655,0.2413793103448276
-0.2413793103448276,1.0
0.7241379310344828,-0.9310344827586207
0.7931034482758621,-0.9310344827586207
-0.9310344827586207,1.0
1.0,-0.1724137931034483
0.6551724137931034,0.2413793103448276
0.5862068965517241,0.3103448275862069
0.3103448275862069,0.6551724137931034
1.0,-0.6551724137931034
0.9310344827586207,-0.9310344827586207
1.0,-0.7241379310344828
1.0,0.3103448275862069
1.0,0.3103448275862069
-0.8620689655172413,1.0
1.0,0.4482758620689655
0.7931034482758621,0.9310344827586207
1.0,0.5862068965517241
0.7931034482758621,0.9310344827586207
0.7931034482758621,0.9310344827586207
1.0,0.7241379310344828
0.9310344827586207,1.0
-0.5172413793103449,0.2413793103448276
-0.3103448275862069,0.034482758620689655
-0.3793103448275862,-0.1724137931034483
-1.0,-1.0
-0.4482758620689655,-0.10344827586206896
-0.10344827586206896,0.1724137931034483
-0.034482758620689655,0.10344827586206896
-0.2413793103448276,-0.034482758620689655
-0.5172413793103449,-0.1724137931034483
-0.8620689655172413,-1.0
-0.7241379310344828,-1.0
-0.3793103448275862,-0.5862068965517241
-0.3103448275862069,-1.0
-0.3793103448275862,0.034482758620689655
-0.034482758620689655,-0.1724137931034483
0.034482758620689655,-0.2413793103448276
-0.034482758620689655,-0.1724137931034483
0.034482758620689655,0.3103448275862069
-0.4482758620689655,0.2413793103448276
-1.0,0.2413793103448276
-1.0,0.1724137931034483
-1.0,0.1724137931034483
-0.1724137931034483,-0.8620689655172413
-0.5172413793103449,-0.5862068965517241
0.1724137931034483,0.5172413793103449
-0.5172413793103449,-0.034482758620689655
-0.5862068965517241,-0.10344827586206896
-0.4482758620689655,-0.034482758620689655
-0.3103448275862069,-0.7241379310344828
0.10344827586206896,-1.0
0.1724137931034483,-0.3103448275862069
0.1724137931034483,-0.3103448275862069
0.1724137931034483,-0.3103448275862069
0.10344827586206896,-0.2413793103448276
-0.1724137931034483,0.2413793103448276
0.034482758620689655,-0.034482758620689655
0.10344827586206896,-0.10344827586206896
0.034482758620689655,-0.034482758620689655
-0.4482758620689655,0.2413793103448276
-0.3103448275862069,0.3793103448275862
-0.3793103448275862,0.3793103448275862
-0.6551724137931034,0.3793103448275862
-0.5862068965517241,0.3793103448275862
-0.6551724137931034,0.3793103448275862
-0.6551724137931034,0.3793103448275862
-0.1724137931034483,0.3103448275862069
-0.3793103448275862,-0.8620689655172413
-0.3793103448275862,-0.8620689655172413
-0.4482758620689655,-0.7931034482758621
-0.3793103448275862,-0.7931034482758621
-0.3793103448275862,-0.8620689655172413
-0.2413793103448276,0.3103448275862069
-0.9310344827586207,-1.0
-0.2413793103448276,-0.9310344827586207
-0.5862068965517241,0.034482758620689655
-0.5172413793103449,-0.4482758620689655
-0.5172413793103449,-0.034482758620689655
0.10344827586206896,-0.3793103448275862
-0.6551724137931034,0.3103448275862069
-1.0,0.1724137931034483
-0.5172413793103449,0.4482758620689655
-0.1724137931034483,-0.9310344827586207
0.10344827586206896,-0.9310344827586207
0.1724137931034483,-1.0
0.1724137931034483,0.034482758620689655
0.3103448275862069,0.034482758620689655
0.2413793103448276,0.034482758620689655
0.3793103448275862,-0.4482758620689655
0.3103448275862069,0.10344827586206896
-0.5172413793103449,0.6551724137931034
-0.9310344827586207,1.0
0.6551724137931034,-0.3103448275862069
0.6551724137931034,-0.3103448275862069
0.4482758620689655,0.1724137931034483
0.1724137931034483,0.6551724137931034
1.0,-0.1724137931034483
1.0,-0.6551724137931034
1.0,0.4482758620689655
-0.10344827586206896,-0.034482758620689655
-0.2413793103448276,-0.034482758620689655
0.10344827586206896,-1.0
-0.4482758620689655,0.5172413793103449
